"nClust","SI_KM","SI_CLARA"
2,0.0501398765280178,0.0387664528062074
3,-0.0162816102657414,-0.0176938328294972
4,-0.0744021831169207,-0.0767407591359632
5,-0.117397452525344,-0.118200086299522
6,-0.146797469930269,-0.139613086979073
7,-0.156693639493745,-0.144431684915683
8,-0.167990463351073,-0.164570866884303
9,-0.181063230837014,-0.170336868213305
10,-0.178855525792906,-0.18950578074144
11,-0.186678520328038,-0.170436055953571
12,-0.19772487914539,-0.188602039352874
